time,pos1,pos2,pos3
256.2,"(-3, -58)","(111, 2)","(1, 67)"
256.3,"(-3, -58)","(111, 2)","(1, 67)"
256.4,"(-3, -58)","(111, 2)","(0, 66)"
256.5,"(-3, -58)","(111, 2)","(0, 65)"
256.6,"(-3, -58)","(111, 2)","(0, 65)"
256.7,"(-3, -58)","(111, 2)","(0, 64)"
256.8,"(-3, -58)","(111, 2)","(0, 63)"
256.9,"(-3, -58)","(111, 2)","(0, 63)"
257.0,"(-3, -58)","(111, 2)","(0, 62)"
257.1,"(-3, -58)","(111, 2)","(-1, 61)"
257.2,"(-3, -58)","(111, 2)","(-1, 61)"
257.3,"(-3, -58)","(111, 2)","(-1, 60)"
257.4,"(-3, -58)","(111, 2)","(-1, 60)"
257.5,"(-3, -58)","(111, 2)","(-2, 59)"
257.6,"(-3, -58)","(111, 2)","(-2, 58)"
257.7,"(-3, -58)","(111, 2)","(-2, 58)"
257.8,"(-3, -58)","(111, 2)","(-3, 57)"
257.9,"(-3, -58)","(111, 2)","(-3, 56)"
258.0,"(-3, -58)","(111, 2)","(-3, 56)"
258.1,"(-3, -58)","(111, 2)","(-3, 55)"
258.2,"(-3, -58)","(111, 2)","(-4, 54)"
258.3,"(-3, -58)","(111, 2)","(-4, 54)"
258.4,"(-3, -58)","(111, 2)","(-4, 53)"
258.5,"(-3, -58)","(111, 2)","(-4, 53)"
258.6,"(-3, -58)","(111, 2)","(-5, 52)"
258.7,"(-3, -58)","(111, 2)","(-5, 51)"
258.8,"(-3, -58)","(111, 2)","(-5, 51)"
258.9,"(-3, -58)","(111, 2)","(-6, 50)"
259.0,"(-3, -58)","(111, 2)","(-6, 49)"
259.1,"(-3, -58)","(111, 2)","(-6, 49)"
259.2,"(-3, -58)","(111, 2)","(-7, 48)"
259.3,"(-3, -58)","(111, 2)","(-7, 47)"
259.4,"(-3, -58)","(111, 2)","(-7, 47)"
259.5,"(-3, -58)","(111, 2)","(-7, 46)"
259.6,"(-3, -58)","(111, 2)","(-8, 45)"
259.7,"(-3, -58)","(111, 2)","(-8, 45)"
259.8,"(-3, -58)","(111, 2)","(-8, 44)"
259.9,"(-3, -58)","(111, 2)","(-8, 44)"
260.0,"(-3, -58)","(111, 2)","(-9, 43)"
260.1,"(-3, -58)","(111, 2)","(-9, 42)"
260.2,"(-3, -58)","(111, 2)","(-9, 42)"
260.3,"(-3, -58)","(111, 2)","(-10, 41)"
260.4,"(-3, -58)","(111, 2)","(-10, 40)"
260.5,"(-3, -58)","(111, 2)","(-10, 40)"
260.6,"(-3, -58)","(111, 2)","(-11, 39)"
260.7,"(-3, -58)","(111, 2)","(-12, 39)"
260.8,"(-3, -58)","(111, 2)","(-12, 39)"
260.9,"(-3, -58)","(111, 2)","(-13, 38)"
261.0,"(-3, -58)","(111, 2)","(-13, 38)"
261.1,"(-3, -58)","(111, 2)","(-14, 38)"
261.2,"(-3, -58)","(111, 2)","(-15, 37)"
261.3,"(-3, -58)","(111, 2)","(-15, 37)"
261.4,"(-3, -58)","(111, 2)","(-16, 37)"
261.5,"(-3, -58)","(111, 2)","(-17, 37)"
261.6,"(-3, -58)","(111, 2)","(-17, 36)"
261.7,"(-3, -58)","(111, 2)","(-18, 36)"
261.8,"(-3, -58)","(111, 2)","(-19, 36)"
261.9,"(-3, -58)","(111, 2)","(-19, 35)"
262.0,"(-3, -58)","(111, 2)","(-20, 35)"
262.1,"(-3, -58)","(111, 2)","(-20, 35)"
262.2,"(-3, -58)","(111, 2)","(-21, 34)"
262.3,"(-3, -58)","(111, 2)","(-21, 34)"
262.4,"(-3, -58)","(111, 2)","(-22, 34)"
262.5,"(-3, -58)","(111, 2)","(-23, 34)"
262.6,"(-3, -58)","(111, 2)","(-23, 33)"
262.7,"(-3, -58)","(111, 2)","(-24, 33)"
262.8,"(-3, -58)","(111, 2)","(-25, 33)"
262.9,"(-3, -58)","(111, 2)","(-25, 32)"
263.0,"(-3, -58)","(111, 2)","(-26, 32)"
263.1,"(-3, -58)","(111, 2)","(-27, 32)"
263.2,"(-3, -58)","(111, 2)","(-27, 31)"
263.3,"(-3, -58)","(111, 2)","(-28, 31)"
263.4,"(-3, -58)","(111, 2)","(-29, 31)"
263.5,"(-3, -58)","(111, 2)","(-29, 31)"
263.6,"(-3, -58)","(111, 2)","(-30, 30)"
263.7,"(-3, -58)","(111, 2)","(-30, 30)"
263.8,"(-3, -58)","(111, 2)","(-31, 30)"
263.9,"(-3, -58)","(111, 2)","(-32, 29)"
264.0,"(-3, -58)","(111, 2)","(-32, 29)"
264.1,"(-3, -58)","(111, 2)","(-33, 29)"
264.2,"(-3, -58)","(111, 2)","(-34, 28)"
264.3,"(-3, -58)","(111, 2)","(-34, 28)"
264.4,"(-3, -58)","(111, 2)","(-35, 28)"
264.5,"(-3, -58)","(111, 2)","(-36, 27)"
264.6,"(-3, -58)","(111, 2)","(-36, 27)"
264.7,"(-3, -58)","(111, 2)","(-37, 27)"
264.8,"(-3, -58)","(111, 2)","(-37, 26)"
264.9,"(-3, -58)","(111, 2)","(-38, 26)"
